"","fip","cnty","lmi_burdenx100","pcnt_hisp_ucb","pcnt_blk_ucb","pcnt_rural_chr","pcnt_sr_ucb","pcnt_college_chr","pcnt_unemp_bls","pcnt_pov_usda","pcnt_income_saipe","pcnt_own_ucb","pcnt_lw_access_usda","pcnt_obese_usda","pcnt_food_insec_chr","pcnt_uninsured_chr","house_str_age"
"1",48001,"Anderson",8,17.3,20.9,67.1,14.0855802,40,4,21,71.6479432384492,70.9120541,39.53477954,31.6,19,21,49
"2",48003,"Andrews",4,55.4,1.5,16.5,10.17238437,40,3.2,10.4,107.18979643551,73.545169,33.9238162,28.1,9,22,50
"3",48005,"Angelina",11,21.5,14.7,43.1,15.2622577,55,5.3,17.9,76.5571416504772,66.0308428,24.1178868,37.5,20,24,42
"4",48007,"Aransas",8,27,1.6,27.3,25.88192655,47,5.4,18.2,79.3479178984712,73.8692413,38.28271646,26.9,16,24,40
"5",48009,"Archer",8,8.3,0.8,89,18.7308086,65,3.7,9.5,98.5066306275868,82.1247389,23.7207022,27.1,15,20,38
"6",48011,"Armstrong",5,10,1.2,100,20.78797304,76,2.5,10.4,93.48255764845,81.0541311,99.7479208,27.2,14,17,55
"7",48013,"Atascosa",9,63.5,0.7,60.7,13.90971977,43,4.3,20.4,82.1623447926345,74.3890644,20.93053735,27.9,9,23,44
"8",48015,"Austin",7,25.9,8.9,66.3,18.02881333,60,4.6,12.7,103.236759861475,74.176572,11.4581878,27,16,22,35
"9",48017,"Bailey",9,62.7,1.5,28.8,14.27162581,44,4.8,15.8,71.027958442436,72.1524664,9.321722082,26.7,10,34,32
"10",48019,"Bandera",8,18,1,100,25.48789642,58,3.7,13.3,93.8896866289383,84.6460498,34.94486782,27.1,15,20,35
"11",48021,"Bastrop",6,36,7.7,63.9,13.84080891,48,3.9,12.7,106.414393107526,76.5366135,28.8748736,33.1,13,25,24
"12",48023,"Baylor",15,10.1,3.2,100,23.90338701,59,3.6,17.4,62.5272404763916,77.43309,12.22885724,28.1,17,19,51
"13",48025,"Bee",11,58.2,8.2,43,11.74188029,35,6.4,23.4,69.9248247318186,63.0055093,33.82001724,29.3,14,23,33
"14",48027,"Bell",7,24,21,15.2,10.02656713,68,4.4,15.9,88.1223076273334,54.784058,33.23949329,29,19,17,52
"15",48029,"Bexar",6,59.8,7,4.5,11.40563128,63,3.8,15.6,91.4992820339556,58.7392039,26.33594441,27.3,11,20,55
"16",48031,"Blanco",4,19.1,0,100,23.67210749,59,2.7,10.9,104.932849058197,76.5957447,4.620966755,28.7,13,23,39
"17",48033,"Borden",4,7.6,0,100,23.58803987,80,3.7,10.2,99.7364642283977,73.7903226,100,27.3,14,15,58
"18",48035,"Bosque",8,17.6,1.4,81.2,24.08242829,51,4.2,15,83.0120787228651,77.3445282,9.677036987,27.8,16,26,41
"19",48037,"Bowie",11,7.4,23.9,35.4,15.81993913,53,4.8,18.6,83.0357293690345,65.0658708,21.72945567,32.4,23,19,37
"20",48039,"Brazoria",3,29.7,12.9,22.5,11.08570933,67,5.6,10.6,136.565588309823,71.9253895,22.23975651,31.2,15,18,40
"21",48041,"Brazos",10,25.1,10.2,12.1,8.453491792,69,3.6,24,77.8494805304502,45.4917398,26.97364072,28.4,21,19,39
"22",48043,"Brewster",7,44.2,0.1,34.9,20.20607375,68,3.6,14.8,75.372920010136,54.8067141,28.61941162,27.7,12,20,44
"23",48045,"Briscoe",11,32.2,1.7,100,23.13010685,51,4.6,16.6,72.0973055156686,75.9036145,100.0000001,26.4,14,34,59
"24",48047,"Brooks",15,94.1,0.1,31.8,14.7979589,39,9,31.7,47.48036151702,61.4737883,16.32714688,27.2,13,24,58
"25",48049,"Brown",10,21.5,3.6,40.4,19.18649271,52,4.2,18.2,70.1714671847284,72.5551138,36.29952363,25.2,17,20,52
"26",48051,"Burleson",11,20.1,12.3,76.7,20.10115935,38,4.5,15.5,80.08953458907,78.0807312,12.89109994,29.8,16,22,33
"27",48053,"Burnet",6,21.9,1.5,55.7,21.4718884,54,3.2,13.2,99.6857842723203,76.2163796,33.17660557,30,15,23,42
"28",48055,"Caldwell",5,50.7,6.1,42.3,13.22513812,42,4.2,17.8,87.6678773545063,67.2560881,15.17491192,26.4,13,25,47
"29",48057,"Calhoun",9,48.1,2.6,44.7,16.5391137,50,5.7,16.8,93.3186924571332,70.5806285,36.16301453,29.1,13,22,48
"30",48059,"Callahan",21,9.1,1.5,72.2,19.4875549,55,3.8,13,77.4440408818312,82.2528823,29.54794335,28.4,18,22,42
"31",48061,"Cameron",13,89.3,0.4,8.4,12.52495829,47,7.5,32,61.870090379255,67.1653518,24.6209433,33.2,10,39,43
"32",48063,"Camp",8,23.9,16.9,61.5,17.79005525,54,6,18.8,70.8370639412112,70.7188161,10.05581898,31.8,20,25,50
"33",48065,"Carson",4,9.7,0.6,95.2,17.35454998,71,3.4,8.5,102.488385843399,84.991274,19.99226569,28.4,13,17,30
"34",48067,"Cass",13,4.3,17,74,21.04389402,42,5.9,20,67.7489652842301,77.8596224,6.955439079,31.3,23,18,46
"35",48069,"Castro",7,63.9,0.7,45.8,14.4721835,43,3.5,18.8,70.5228482135315,64.3379366,11.9115559,28.1,8,34,21
"36",48071,"Chambers",7,21.4,8,45.7,10.67382837,65,6.7,9.6,136.866289382549,82.7552553,19.20946919,28.6,15,18,34
"37",48073,"Cherokee",14,22.5,13.6,63,16.77908284,46,4.7,19,79.6469296393276,73.6483086,16.28445135,30.1,19,27,58
"38",48075,"Childress",8,21.7,7.2,33.1,15.17553794,49,3,22.3,69.1359067488808,54.9517967,44.15210837,27,19,20,55
"39",48077,"Clay",11,5.7,0.5,74.6,21.35210724,57,3.6,12.3,90.2745164287524,85.3532875,51.41216758,29.4,17,20,33
"40",48079,"Cochran",13,57,2.6,100,14.93860846,41,4.1,22.5,68.9179829377481,76.1,21.17568413,26.9,11,35,42
"41",48081,"Coke",6,21.1,0.6,100,26.68313774,68,3.6,13.5,71.4823887152631,71.2198221,99.97629203,28.1,16,20,51
"42",48083,"Coleman",12,17.4,2.7,51.5,22.22749941,52,4.6,20,60.1334572176704,71.0951009,19.62615995,28.1,18,24,39
"43",48085,"Collin",5,15.1,9.2,5.2,10.06996144,80,3.7,6.6,161.152124334826,65.622945,12.68382487,24.6,15,13,42
"44",48087,"Collingsworth",8,31.3,3.5,100,18.40713814,38,3.8,19,67.2506123828026,80.3457689,7.358328039,28,14,35,30
"45",48089,"Colorado",12,28.9,13,62.6,19.96365897,54,3.9,14.5,82.9461947799645,82.072866,20.68035441,28.5,15,22,34
"46",48091,"Comal",6,26.8,2,46.1,17.51742835,68,3.5,8.3,122.581299096207,75.3497132,21.33193443,26.7,12,16,26
"47",48093,"Comanche",14,27.3,0.7,71.5,23.81411207,52,3.7,16.8,77.9812484162514,78.3630311,15.33889724,28.3,16,29,43
"48",48095,"Concho",5,53,0.7,100,17.28875065,25,5.8,26.4,72.1733254497846,71.3021492,26.72534093,27.5,8,21,41
"49",48097,"Cooke",7,17.3,2.5,59,17.86555396,57,3.8,13.2,96.9372413210575,68.8574251,7.297667843,29.2,16,23,54
"50",48099,"Coryell",5,17.8,13.7,19.4,9.157456013,63,4.4,16,86.9769406199848,57.5990011,43.59208806,30.3,19,17,18
"51",48101,"Cottle",7,32.7,10.2,100,25.63417891,54,4.2,21.4,61.1555029985641,65.3614458,99.94135214,27.4,20,30,39
"52",48103,"Crane",6,62.8,4.2,10.7,11.41439206,49,5,9.6,95.2039868232114,78.296146,8.890448007,29.3,9,23,47
"53",48105,"Crockett",8,66.1,0.9,22.7,14.15537018,33,4.1,12.9,76.0047301292339,72.7852587,7.641090395,27.9,11,24,53
"54",48107,"Crosby",8,55.4,3.7,100,17.21798134,41,4.9,22.8,62.4072979136751,68.5562016,4.805601238,27.8,12,27,38
"55",48109,"Culberson",12,80.7,0.4,100,19.67213115,37,3.7,23.9,63.8989779542191,66.6666667,7.762441134,27.6,8,30,59
"56",48111,"Dallam",9,43.8,1.7,23.5,10.75343416,37,2.3,12,80.8142579609764,59.6217105,40.09040167,31.5,13,31,53
"57",48113,"Dallas",5,39.6,22.1,0.7,10.00637486,57,4.1,17.9,95.8391756060478,50.459236,16.62322476,27.6,18,26,25
"58",48115,"Dawson",13,56.4,5.7,16.3,14.4482627,41,5.4,21.9,71.1664836557142,71.0993316,29.54572938,29.9,11,27,32
"59",48117,"Deaf Smith",8,71.6,0.8,17.7,11.97551063,48,3.3,19.4,72.1310921530535,65.0212488,18.63656526,29.4,7,30,44
"60",48119,"Delta",10,6.9,7.9,100,19.87625677,54,3.4,18.5,70.3505363628685,77.1990172,7.210911711,28,20,21,45
"61",48121,"Denton",4,19.1,9.1,6.9,9.162815283,76,3.5,8,146.063012078723,64.5149802,18.57490421,22.1,15,14,40
"62",48123,"DeWitt",9,34.5,9,49.6,18.85317964,44,4.4,19.2,80.508488892643,75.2754821,15.35426515,30.6,15,20,31
"63",48125,"Dickens",17,27.6,3.1,100,22.57194245,48,4.7,22.2,65.3805220035476,71.5144231,19.84283624,26.6,16,27,37
"64",48127,"Dimmit",12,86.5,0.1,39.5,14.72001478,42,5.8,24.4,60.302390404595,70.4257768,38.98802259,29.9,8,24,36
"65",48129,"Donley",7,10.6,3.7,100,23.39062045,60,4.2,20.2,70.7272573697103,74.3902439,15.60278768,27.6,18,25,47
"66",48131,"Duval",10,89.3,1.4,67,18.01644219,42,7.8,25.4,56.5841709603852,67.2041612,34.4872333,27.8,10,24,58
"67",48133,"Eastland",13,16,2.2,60.3,21.85140606,40,4.7,18.1,66.9313286595152,74.8329967,21.69785995,28.2,18,24,54
"68",48135,"Ector",5,58.7,4.1,9.5,9.498279227,49,4.2,12.6,91.9368189880902,66.0398252,20.50491819,31.6,10,25,41
"69",48137,"Edwards",22,56.9,0,100,28.46991947,54,3.2,22.2,59.4036658501563,86.9085174,31.8685539,27.1,7,28,42
"70",48139,"Ellis",5,25.5,8.9,32,12.03958755,60,4.9,10.9,120.807500633499,73.0525354,23.72952732,29.8,14,20,42
"71",48141,"El Paso",7,82.2,3,2.2,11.3876561,64,3.7,20.3,74.5333220711209,61.5911854,17.92631954,28.4,9,27,37
"72",48143,"Erath",14,20.6,1.6,46.3,13.81412132,64,3.8,17.7,81.4764760537207,63.6652925,36.14864981,28.2,19,25,36
"73",48145,"Falls",14,22.8,24.3,67.4,16.97611198,41,4.5,23.9,60.7956753104147,72.7289547,13.84074552,29.8,21,23,48
"74",48147,"Fannin",12,10.6,6.5,70.5,18.82084826,52,3.5,16.4,85.4768139200946,74.6403925,33.00633204,28.4,18,25,41
"75",48149,"Fayette",9,20.4,6,67.1,23.72711613,46,3.1,12,95.1431708759186,81.2217681,22.56271642,27.1,14,22,18
"76",48151,"Fisher",8,29.8,2.9,100,23.48387097,66,3.6,15.2,79.8918827603683,72.3466981,17.0230805,26.7,15,20,45
"77",48153,"Floyd",13,57.8,2.5,53.3,18.49487653,52,5.6,21.8,69.9214460680801,72.7155172,6.404572216,26.8,12,28,37
"78",48155,"Foard",5,21.6,2.2,100,26.59123055,63,3.2,17.8,59.1384407466847,80.2491103,100.0000004,26.3,13,27,41
"79",48157,"Fort Bend",5,24.2,20.2,5.5,9.705786025,77,4.8,7,154.845848466931,78.0520935,25.41268567,23.9,15,15,34
"80",48159,"Franklin",9,13.9,4.5,69.1,19.9924805,55,4.7,16.4,74.9353830560013,74.5103027,7.014344136,26.9,18,20,48
"81",48161,"Freestone",7,14.7,16.1,66.5,18.95551257,49,6.6,15.8,80.4392262860039,74.7925885,14.90116737,28.5,20,24,49
"82",48163,"Frio",11,78.5,3.6,22.2,12.32339089,35,4.2,29.3,63.946279246558,70.0662252,9.767570183,27.5,8,25,47
"83",48165,"Gaines",8,40.6,2.3,63,8.612801046,34,3.2,13.3,88.078384998733,76.3470959,3.213600462,30.6,10,37,24
"84",48167,"Galveston",6,23.9,12.5,6.1,13.15632161,65,5.4,14,117.702508657826,66.3002852,31.22586545,27.6,17,19,57
"85",48169,"Garza",6,54,4.5,22.3,11.29247663,27,3.5,26.8,78.70090379255,65.0145773,6.013705693,27.5,10,27,32
"86",48171,"Gillespie",5,22.5,0.1,53.7,28.6595474,55,2.6,10.4,98.6772531463806,76.2760537,19.20938413,26.8,13,26,43
"87",48173,"Glasscock",5,40.6,0,100,13.94366197,49,2.9,7.8,131.916547005659,71.7894737,98.21762002,26.8,10,22,31
"88",48175,"Goliad",7,35.6,5.3,100,20.99866844,61,4.8,14.1,88.5260579440831,81.8874773,36.80334236,29.2,14,16,37
"89",48177,"Gonzales",11,50.1,6.7,65.3,15.94999514,38,3.6,16.4,76.1077793732579,68.7090339,25.55467983,29.5,12,31,56
"90",48179,"Gray",5,27.9,4.3,19.4,15.75211219,46,5.4,13,78.721175774981,75.2101367,20.04673813,28.4,16,27,37
"91",48181,"Grayson",8,12.7,5.5,43.2,17.21259493,59,3.7,15.2,91.9520229749134,67.0094637,19.506941,28.9,18,23,59
"92",48183,"Gregg",6,18.2,20.1,13.4,14.46005737,56,5.4,17,79.7499788833516,58.8490628,22.22965217,35.3,21,24,60
"93",48185,"Grimes",13,23.6,15.6,68.9,15.9953213,43,5.6,17.8,81.1267843567869,77.7616927,40.03574604,29.1,19,25,46
"94",48187,"Guadalupe",6,37.3,7.1,26.2,13.06258243,61,3.5,10.3,112.992651406369,75.4356607,34.12163723,30.9,12,18,51
"95",48189,"Hale",11,58.8,4.4,23.1,12.94059721,46,6.1,20.3,73.6041895430357,60.3904787,20.86400896,30.6,13,29,47
"96",48191,"Hall",11,34.2,7.4,100,22.66279819,47,6,25.5,55.7141650477236,62.6205788,24.45472034,29.1,21,36,41
"97",48193,"Hamilton",9,12,0.7,64.4,25.35279805,55,4.2,15.4,74.7191485767379,75.6731074,25.05699264,30,17,26,34
"98",48195,"Hansford",7,46.4,0.1,40.3,15.50976139,44,2.5,11.7,94.1988343610102,72.972973,88.77828265,28.1,12,30,56
"99",48197,"Hardeman",11,21.3,6.9,100,20.02506266,44,3.8,18,65.9211082017062,75.0163079,29.75016711,28.5,16,28,27
"100",48199,"Hardin",11,5.4,5.6,51.5,15.76089868,60,6.1,11.8,99.3817045358561,80.79946,29.06505221,32.1,18,18,34
"101",48201,"Harris",5,42.2,18.5,1.2,9.561975102,59,5.2,16.6,99.1029647774305,54.7492886,18.08857249,27.2,17,25,57
"102",48203,"Harrison",9,12.7,21.3,56.1,15.60820347,52,5.4,18.5,85.4531632739252,74.1685571,13.69591267,33.3,21,21,49
