"","County.GEOID","County.Name","State","LMI.Energy.Burden","Non.LMI.Energy.Burden"
"1",48001,"Anderson","TX",0.08,0.04
"2",48003,"Andrews","TX",0.04,0.03
"3",48005,"Angelina","TX",0.11,0.05
"4",48007,"Aransas","TX",0.08,0.04
"5",48009,"Archer","TX",0.08,0.07
"6",48011,"Armstrong","TX",0.05,0.05
"7",48013,"Atascosa","TX",0.09,0.05
"8",48015,"Austin","TX",0.07,0.04
"9",48017,"Bailey","TX",0.09,0.04
"10",48019,"Bandera","TX",0.08,0.05
"11",48021,"Bastrop","TX",0.06,0.02
"12",48023,"Baylor","TX",0.15,0.05
"13",48025,"Bee","TX",0.11,0.06
"14",48027,"Bell","TX",0.07,0.04
"15",48029,"Bexar","TX",0.06,0.03
"16",48031,"Blanco","TX",0.04,0.02
"17",48033,"Borden","TX",0.04,0.07
"18",48035,"Bosque","TX",0.08,0.05
"19",48037,"Bowie","TX",0.11,0.05
"20",48039,"Brazoria","TX",0.03,0.02
"21",48041,"Brazos","TX",0.1,0.03
"22",48043,"Brewster","TX",0.07,0.05
"23",48045,"Briscoe","TX",0.11,0.05
"24",48047,"Brooks","TX",0.15,0.03
"25",48049,"Brown","TX",0.1,0.06
"26",48051,"Burleson","TX",0.11,0.05
"27",48053,"Burnet","TX",0.06,0.04
"28",48055,"Caldwell","TX",0.05,0.02
"29",48057,"Calhoun","TX",0.09,0.04
"30",48059,"Callahan","TX",0.21,0.06
"31",48061,"Cameron","TX",0.13,0.03
"32",48063,"Camp","TX",0.08,0.04
"33",48065,"Carson","TX",0.04,0.05
"34",48067,"Cass","TX",0.13,0.05
"35",48069,"Castro","TX",0.07,0.06
"36",48071,"Chambers","TX",0.07,0.04
"37",48073,"Cherokee","TX",0.14,0.05
"38",48075,"Childress","TX",0.08,0.03
"39",48077,"Clay","TX",0.11,0.06
"40",48079,"Cochran","TX",0.13,0.04
"41",48081,"Coke","TX",0.06,0.04
"42",48083,"Coleman","TX",0.12,0.05
"43",48085,"Collin","TX",0.05,0.05
"44",48087,"Collingsworth","TX",0.08,0.05
"45",48089,"Colorado","TX",0.12,0.06
"46",48091,"Comal","TX",0.06,0.04
"47",48093,"Comanche","TX",0.14,0.05
"48",48095,"Concho","TX",0.05,0.04
"49",48097,"Cooke","TX",0.07,0.05
"50",48099,"Coryell","TX",0.05,0.04
"51",48101,"Cottle","TX",0.07,0.04
"52",48103,"Crane","TX",0.06,0.05
"53",48105,"Crockett","TX",0.08,0.04
"54",48107,"Crosby","TX",0.08,0.03
"55",48109,"Culberson","TX",0.12,0.04
"56",48111,"Dallam","TX",0.09,0.05
"57",48113,"Dallas","TX",0.05,0.02
"58",48115,"Dawson","TX",0.13,0.05
"59",48117,"Deaf Smith","TX",0.08,0.05
"60",48119,"Delta","TX",0.1,0.04
"61",48121,"Denton","TX",0.04,0.04
"62",48123,"DeWitt","TX",0.09,0.04
"63",48125,"Dickens","TX",0.17,0.05
"64",48127,"Dimmit","TX",0.12,0.04
"65",48129,"Donley","TX",0.07,0.05
"66",48131,"Duval","TX",0.1,0.03
"67",48133,"Eastland","TX",0.13,0.04
"68",48135,"Ector","TX",0.05,0.04
"69",48137,"Edwards","TX",0.22,0.07
"70",48139,"Ellis","TX",0.05,0.03
"71",48141,"El Paso","TX",0.07,0.03
"72",48143,"Erath","TX",0.14,0.05
"73",48145,"Falls","TX",0.14,0.05
"74",48147,"Fannin","TX",0.12,0.06
"75",48149,"Fayette","TX",0.09,0.04
"76",48151,"Fisher","TX",0.08,0.05
"77",48153,"Floyd","TX",0.13,0.05
"78",48155,"Foard","TX",0.05,0.05
"79",48157,"Fort Bend","TX",0.05,0.05
"80",48159,"Franklin","TX",0.09,0.03
"81",48161,"Freestone","TX",0.07,0.04
"82",48163,"Frio","TX",0.11,0.04
"83",48165,"Gaines","TX",0.08,0.05
"84",48167,"Galveston","TX",0.06,0.03
"85",48169,"Garza","TX",0.06,0.04
"86",48171,"Gillespie","TX",0.05,0.03
"87",48173,"Glasscock","TX",0.05,0.03
"88",48175,"Goliad","TX",0.07,0.04
"89",48177,"Gonzales","TX",0.11,0.05
"90",48179,"Gray","TX",0.05,0.03
