GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US48001,48001,"Anderson County, Texas",16567,423,11748,468,4819,452
0500000US48003,48003,"Andrews County, Texas",5413,193,3981,263,1432,253
0500000US48005,48005,"Angelina County, Texas",30931,527,20424,610,10507,542
0500000US48007,48007,"Aransas County, Texas",9529,507,7039,347,2490,411
0500000US48009,48009,"Archer County, Texas",3351,138,2752,135,599,98
0500000US48011,48011,"Armstrong County, Texas",702,48,569,49,133,40
0500000US48013,48013,"Atascosa County, Texas",15509,406,11537,438,3972,414
0500000US48015,48015,"Austin County, Texas",11021,294,8175,338,2846,327
0500000US48017,48017,"Bailey County, Texas",2230,190,1609,256,621,188
0500000US48019,48019,"Bandera County, Texas",8278,432,7007,378,1271,248
0500000US48021,48021,"Bastrop County, Texas",26015,596,19911,705,6104,606
0500000US48023,48023,"Baylor County, Texas",1644,109,1273,109,371,89
0500000US48025,48025,"Bee County, Texas",8531,296,5375,333,3156,350
0500000US48027,48027,"Bell County, Texas",116397,1463,63767,1307,52630,1199
0500000US48029,48029,"Bexar County, Texas",627889,2211,368817,2615,259072,2597
0500000US48031,48031,"Blanco County, Texas",4230,261,3240,234,990,204
0500000US48033,48033,"Borden County, Texas",248,36,183,38,65,21
0500000US48035,48035,"Bosque County, Texas",7027,224,5435,183,1592,182
0500000US48037,48037,"Bowie County, Texas",33171,604,21583,608,11588,628
0500000US48039,48039,"Brazoria County, Texas",117088,971,84216,1395,32872,1308
0500000US48041,48041,"Brazos County, Texas",77480,830,35247,690,42233,933
0500000US48043,48043,"Brewster County, Texas",3932,236,2155,206,1777,237
0500000US48045,48045,"Briscoe County, Texas",664,55,504,59,160,41
0500000US48047,48047,"Brooks County, Texas",2022,231,1243,165,779,151
0500000US48049,48049,"Brown County, Texas",13835,401,10038,341,3797,330
0500000US48051,48051,"Burleson County, Texas",6565,284,5126,308,1439,246
0500000US48053,48053,"Burnet County, Texas",16545,588,12610,576,3935,455
0500000US48055,48055,"Caldwell County, Texas",12894,350,8672,385,4222,385
0500000US48057,48057,"Calhoun County, Texas",7733,330,5458,286,2275,290
0500000US48059,48059,"Callahan County, Texas",5291,231,4352,214,939,149
0500000US48061,48061,"Cameron County, Texas",122188,1028,82068,1122,40120,1174
0500000US48063,48063,"Camp County, Texas",4730,191,3345,201,1385,187
0500000US48065,48065,"Carson County, Texas",2292,98,1948,103,344,89
0500000US48067,48067,"Cass County, Texas",11811,339,9196,362,2615,275
0500000US48069,48069,"Castro County, Texas",2462,117,1584,131,878,126
0500000US48071,48071,"Chambers County, Texas",13320,289,11023,438,2297,414
0500000US48073,48073,"Cherokee County, Texas",17885,356,13172,368,4713,411
0500000US48075,48075,"Childress County, Texas",2282,214,1254,162,1028,218
0500000US48077,48077,"Clay County, Texas",4076,147,3479,154,597,115
0500000US48079,48079,"Cochran County, Texas",1000,66,761,60,239,59
0500000US48081,48081,"Coke County, Texas",1574,97,1121,81,453,89
0500000US48083,48083,"Coleman County, Texas",3470,238,2467,205,1003,184
0500000US48085,48085,"Collin County, Texas",323905,1315,212556,1948,111349,1668
0500000US48087,48087,"Collingsworth County, Texas",1099,80,883,80,216,75
0500000US48089,48089,"Colorado County, Texas",7603,348,6240,342,1363,268
0500000US48091,48091,"Comal County, Texas",47253,581,35605,685,11648,669
0500000US48093,48093,"Comanche County, Texas",5107,235,4002,251,1105,186
0500000US48095,48095,"Concho County, Texas",791,115,564,104,227,64
0500000US48097,48097,"Cooke County, Texas",15185,343,10456,439,4729,486
0500000US48099,48099,"Coryell County, Texas",22424,523,12916,453,9508,596
0500000US48101,48101,"Cottle County, Texas",664,71,434,70,230,64
0500000US48103,48103,"Crane County, Texas",1479,69,1158,77,321,76
0500000US48105,48105,"Crockett County, Texas",1411,129,1027,148,384,138
0500000US48107,48107,"Crosby County, Texas",2064,101,1415,118,649,90
0500000US48109,48109,"Culberson County, Texas",735,97,490,79,245,64
0500000US48111,48111,"Dallam County, Texas",2432,144,1450,148,982,170
0500000US48113,48113,"Dallas County, Texas",906179,2129,457251,3978,448928,3632
0500000US48115,48115,"Dawson County, Texas",4339,185,3085,214,1254,198
0500000US48117,48117,"Deaf Smith County, Texas",6118,179,3978,193,2140,238
0500000US48119,48119,"Delta County, Texas",2035,86,1571,109,464,91
0500000US48121,48121,"Denton County, Texas",275164,1155,177522,1419,97642,1423
0500000US48123,48123,"DeWitt County, Texas",7260,270,5465,241,1795,246
0500000US48125,48125,"Dickens County, Texas",832,73,595,58,237,60
