GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC103,HC02_VC103,HC03_VC103,HC04_VC103,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Percent Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Percent; SEX AND AGE - Total population - Female,Percent Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Percent Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females),Margin of Error; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females),Percent; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females),Percent Margin of Error; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females),Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Percent Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females),Margin of Error; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females),Percent; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females),Percent Margin of Error; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females),Estimate; RACE - One race,Margin of Error; RACE - One race,Percent; RACE - One race,Percent Margin of Error; RACE - One race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone
0500000US48001,48001,"Anderson County, Texas",57747,*****,57747,(X),22455,143,38.9,0.2,46513,25,46513,(X),171.5,0.8,(X),(X),8134,139,8134,(X),86.2,2.3,(X),(X),56817,252,98.4,0.4,57747,*****,57747,(X),9981,*****,17.3,*****,8816,532,15.3,0.9,47766,*****,82.7,*****,34468,14,59.7,0.1,12075,190,20.9,0.3,160,56,0.3,0.1,314,82,0.5,0.1,22,28,0.0,0.1,11,14,0.0,0.1
0500000US48003,48003,"Andrews County, Texas",17577,*****,17577,(X),8597,79,48.9,0.5,12097,33,12097,(X),102.9,1.7,(X),(X),1788,77,1788,(X),80.2,2.9,(X),(X),17250,157,98.1,0.9,17577,*****,17577,(X),9737,*****,55.4,*****,9570,100,54.4,0.6,7840,*****,44.6,*****,7229,12,41.1,0.1,265,186,1.5,1.1,16,29,0.1,0.2,37,63,0.2,0.4,9,19,0.1,0.1,0,21,0.0,0.2
0500000US48005,48005,"Angelina County, Texas",87700,*****,87700,(X),44993,91,51.3,0.1,64838,28,64838,(X),93.1,0.3,(X),(X),13385,50,13385,(X),77.1,1.0,(X),(X),86099,454,98.2,0.5,87700,*****,87700,(X),18871,*****,21.5,*****,17607,447,20.1,0.5,68829,*****,78.5,*****,53704,50,61.2,0.1,12878,349,14.7,0.4,60,44,0.1,0.1,933,72,1.1,0.1,9,18,0.0,0.1,94,80,0.1,0.1
0500000US48007,48007,"Aransas County, Texas",24832,*****,24832,(X),12384,200,49.9,0.8,20119,113,20119,(X),98.0,1.9,(X),(X),6427,74,6427,(X),95.0,2.1,(X),(X),23666,452,95.3,1.8,24832,*****,24832,(X),6714,*****,27.0,*****,5773,478,23.2,1.9,18118,*****,73.0,*****,16803,49,67.7,0.2,390,62,1.6,0.2,6,6,0.0,0.1,500,51,2.0,0.2,0,25,0.0,0.2,26,48,0.1,0.2
0500000US48009,48009,"Archer County, Texas",8793,*****,8793,(X),4458,57,50.7,0.6,6841,19,6841,(X),94.8,2.1,(X),(X),1647,25,1647,(X),85.9,2.2,(X),(X),8583,79,97.6,0.9,8793,*****,8793,(X),731,*****,8.3,*****,669,49,7.6,0.6,8062,*****,91.7,*****,7787,19,88.6,0.5,74,48,0.8,0.6,23,29,0.3,0.3,34,45,0.4,0.5,0,19,0.0,0.5,0,19,0.0,0.5
0500000US48011,48011,"Armstrong County, Texas",1929,117,1929,(X),955,70,49.5,2.6,1512,73,1512,(X),96.9,8.5,(X),(X),401,46,401,(X),71.4,9.8,(X),(X),1905,114,98.8,1.1,1929,117,1929,(X),192,61,10.0,3.0,189,65,9.8,3.2,1737,111,90.0,3.0,1671,108,86.6,3.1,24,20,1.2,1.0,26,22,1.3,1.1,0,13,0.0,2.0,0,13,0.0,2.0,0,13,0.0,2.0
0500000US48013,48013,"Atascosa County, Texas",48139,*****,48139,(X),24088,118,50.0,0.2,34722,126,34722,(X),98.2,0.9,(X),(X),6696,66,6696,(X),86.4,1.2,(X),(X),46442,652,96.5,1.4,48139,*****,48139,(X),30585,*****,63.5,*****,27696,808,57.5,1.7,17554,*****,36.5,*****,16480,65,34.2,0.1,353,104,0.7,0.2,55,63,0.1,0.1,186,56,0.4,0.1,0,28,0.0,0.1,12,22,0.0,0.1
0500000US48015,48015,"Austin County, Texas",29292,*****,29292,(X),14818,80,50.6,0.3,22212,35,22212,(X),96.9,0.7,(X),(X),5281,66,5281,(X),84.8,1.9,(X),(X),28517,209,97.4,0.7,29292,*****,29292,(X),7598,*****,25.9,*****,7196,213,24.6,0.7,21694,*****,74.1,*****,18533,38,63.3,0.1,2601,101,8.9,0.3,11,19,0.0,0.1,58,57,0.2,0.2,0,25,0.0,0.1,28,38,0.1,0.1
0500000US48017,48017,"Bailey County, Texas",7098,*****,7098,(X),3420,122,48.2,1.7,5041,118,5041,(X),113.5,7.3,(X),(X),1013,147,1013,(X),90.1,15.8,(X),(X),7089,19,99.9,0.3,7098,*****,7098,(X),4447,215,62.7,3.0,4317,245,60.8,3.5,2651,215,37.3,3.0,2459,196,34.6,2.8,108,82,1.5,1.2,5,11,0.1,0.2,63,69,0.9,1.0,16,23,0.2,0.3,0,19,0.0,0.6
