FIPS,County,PCT_OBESE_ADULTS13,POVRATE15,PCT_LACCESS_POP15
48001,Anderson,31.6,21,39.53477954
48003,Andrews,28.1,10.4,33.9238162
48005,Angelina,37.5,17.9,24.1178868
48007,Aransas,26.9,18.2,38.28271646
48009,Archer,27.1,9.5,23.7207022
48011,Armstrong,27.2,10.4,99.7479208
48013,Atascosa,27.9,20.4,20.93053735
48015,Austin,27,12.7,11.4581878
48017,Bailey,26.7,15.8,9.321722082
48019,Bandera,27.1,13.3,34.94486782
48021,Bastrop,33.1,12.7,28.8748736
48023,Baylor,28.1,17.4,12.22885724
48025,Bee,29.3,23.4,33.82001724
48027,Bell,29,15.9,33.23949329
48029,Bexar,27.3,15.6,26.33594441
48031,Blanco,28.7,10.9,4.620966755
48033,Borden,27.3,10.2,100
48035,Bosque,27.8,15,9.677036987
48037,Bowie,32.4,18.6,21.72945567
48039,Brazoria,31.2,10.6,22.23975651
48041,Brazos,28.4,24,26.97364072
48043,Brewster,27.7,14.8,28.61941162
48045,Briscoe,26.4,16.6,100.0000001
48047,Brooks,27.2,31.7,16.32714688
48049,Brown,25.2,18.2,36.29952363
48051,Burleson,29.8,15.5,12.89109994
48053,Burnet,30,13.2,33.17660557
48055,Caldwell,26.4,17.8,15.17491192
48057,Calhoun,29.1,16.8,36.16301453
48059,Callahan,28.4,13,29.54794335
48061,Cameron,33.2,32,24.6209433
48063,Camp,31.8,18.8,10.05581898
48065,Carson,28.4,8.5,19.99226569
48067,Cass,31.3,20,6.955439079
48069,Castro,28.1,18.8,11.9115559
48071,Chambers,28.6,9.6,19.20946919
48073,Cherokee,30.1,19,16.28445135
48075,Childress,27,22.3,44.15210837
48077,Clay,29.4,12.3,51.41216758
48079,Cochran,26.9,22.5,21.17568413
48081,Coke,28.1,13.5,99.97629203
48083,Coleman,28.1,20,19.62615995
48085,Collin,24.6,6.6,12.68382487
48087,Collingsworth,28,19,7.358328039
48089,Colorado,28.5,14.5,20.68035441
48091,Comal,26.7,8.3,21.33193443
48093,Comanche,28.3,16.8,15.33889724
48095,Concho,27.5,26.4,26.72534093
48097,Cooke,29.2,13.2,7.297667843
48099,Coryell,30.3,16,43.59208806
48101,Cottle,27.4,21.4,99.94135214
