County GEOID,County Name,State,LMI Energy Burden,Non-LMI Energy Burden
48201,Harris,TX,0.05,0.02
48203,Harrison,TX,0.09,0.04
48205,Hartley,TX,0.04,0.04
48207,Haskell,TX,0.11,0.05
48209,Hays,TX,0.05,0.02
48211,Hemphill,TX,0.06,0.04
48213,Henderson,TX,0.13,0.07
48215,Hidalgo,TX,0.12,0.03
48217,Hill,TX,0.11,0.05
48219,Hockley,TX,0.08,0.04
48221,Hood,TX,0.06,0.04
48223,Hopkins,TX,0.11,0.06
48225,Houston,TX,0.12,0.04
48227,Howard,TX,0.09,0.05
48229,Hudspeth,TX,0.15,0.03
48231,Hunt,TX,0.07,0.03
48233,Hutchinson,TX,0.07,0.04
48235,Irion,TX,0.07,0.06
48237,Jack,TX,0.08,0.04
48239,Jackson,TX,0.09,0.05
48241,Jasper,TX,0.11,0.05
48243,Jeff Davis,TX,0.06,0.06
48245,Jefferson,TX,0.10,0.04
48247,Jim Hogg,TX,0.13,0.04
48249,Jim Wells,TX,0.15,0.06
48251,Johnson,TX,0.05,0.03
48253,Jones,TX,0.10,0.05
48255,Karnes,TX,0.11,0.04
48257,Kaufman,TX,0.08,0.04
48259,Kendall,TX,0.04,0.02
48261,Kenedy,TX,0.09,0.04
48263,Kent,TX,0.09,0.06
48265,Kerr,TX,0.06,0.04
48267,Kimble,TX,0.09,0.05
48269,King,TX,0.06,0.02
48271,Kinney,TX,0.10,0.05
48273,Kleberg,TX,0.15,0.05
48275,Knox,TX,0.12,0.06
48277,Lamar,TX,0.13,0.06
48279,Lamb,TX,0.09,0.04
48281,Lampasas,TX,0.09,0.05
48283,La Salle,TX,0.12,0.04
48285,Lavaca,TX,0.07,0.05
48287,Lee,TX,0.08,0.04
48289,Leon,TX,0.08,0.05
48291,Liberty,TX,0.07,0.03
48293,Limestone,TX,0.10,0.04
48295,Lipscomb,TX,0.05,0.03
48297,Live Oak,TX,0.07,0.05
48299,Llano,TX,0.06,0.03
48301,Loving,TX,0.16,0.03
48303,Lubbock,TX,0.08,0.04
48305,Lynn,TX,0.12,0.05
48307,McCulloch,TX,0.09,0.06
48309,McLennan,TX,0.09,0.04
48311,McMullen,TX,0.14,0.07
48313,Madison,TX,0.08,0.04
48315,Marion,TX,0.14,0.04
48317,Martin,TX,0.09,0.05
48319,Mason,TX,0.08,0.03
48321,Matagorda,TX,0.14,0.05
48323,Maverick,TX,0.14,0.04
48325,Medina,TX,0.07,0.04
48327,Menard,TX,0.08,0.04
48329,Midland,TX,0.03,0.03
48331,Milam,TX,0.10,0.05
48333,Mills,TX,0.10,0.04
48335,Mitchell,TX,0.06,0.06
48337,Montague,TX,0.09,0.05
48339,Montgomery,TX,0.06,0.04
48341,Moore,TX,0.10,0.08
48343,Morris,TX,0.15,0.06
48345,Motley,TX,0.10,0.04
48347,Nacogdoches,TX,0.14,0.05
48349,Navarro,TX,0.11,0.05
48351,Newton,TX,0.09,0.05
48353,Nolan,TX,0.10,0.04
48355,Nueces,TX,0.07,0.04
48357,Ochiltree,TX,0.07,0.03
48359,Oldham,TX,0.08,0.03
48361,Orange,TX,0.10,0.06
48363,Palo Pinto,TX,0.13,0.05
48365,Panola,TX,0.09,0.04
48367,Parker,TX,0.05,0.04
48369,Parmer,TX,0.08,0.05
48371,Pecos,TX,0.06,0.03
48373,Polk,TX,0.12,0.06
48375,Potter,TX,0.06,0.02
48377,Presidio,TX,0.10,0.04
48379,Rains,TX,0.09,0.05
48381,Randall,TX,0.05,0.04
48383,Reagan,TX,0.07,0.05
48385,Real,TX,0.09,0.05
48387,Red River,TX,0.14,0.04
48389,Reeves,TX,0.12,0.05
48391,Refugio,TX,0.09,0.06
48393,Roberts,TX,0.04,0.03
48395,Robertson,TX,0.11,0.05
48397,Rockwall,TX,0.07,0.07
48399,Runnels,TX,0.12,0.06
