"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","48","48001","Anderson County (TX)","44,541","8,388","6,385","10,391","6,385 to 10,391","18.8","14.3","23.3","14.3 to 23.3","11,189","2,614","1,950","3,278","1,950 to 3,278","23.4","17.5","29.3","17.5 to 29.3","8,148","1,832","1,335","2,329","1,335 to 2,329","22.5","16.4","28.6","16.4 to 28.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,412","$39,272","$45,552","$39,272 to $45,552"
"2017","48","48003","Andrews County (TX)","17,602","2,293","1,807","2,779","1,807 to 2,779","13.0","10.2","15.8","10.2 to 15.8","5,434","950","721","1,179","721 to 1,179","17.5","13.3","21.7","13.3 to 21.7","3,865","654","487","821","487 to 821","16.9","12.6","21.2","12.6 to 21.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,451","$56,594","$70,308","$56,594 to $70,308"
"2017","48","48005","Angelina County (TX)","84,883","16,969","14,823","19,115","14,823 to 19,115","20.0","17.5","22.5","17.5 to 22.5","22,356","5,672","4,557","6,787","4,557 to 6,787","25.4","20.4","30.4","20.4 to 30.4","16,286","4,029","3,213","4,845","3,213 to 4,845","24.7","19.7","29.7","19.7 to 29.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,318","$41,519","$49,117","$41,519 to $49,117"
"2017","48","48007","Aransas County (TX)","25,057","4,544","3,600","5,488","3,600 to 5,488","18.1","14.3","21.9","14.3 to 21.9","4,714","1,516","1,136","1,896","1,136 to 1,896","32.2","24.1","40.3","24.1 to 40.3","3,402","1,047","761","1,333","761 to 1,333","30.8","22.4","39.2","22.4 to 39.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,970","$42,451","$51,489","$42,451 to $51,489"
"2017","48","48009","Archer County (TX)","8,754","882","682","1,082","682 to 1,082","10.1","7.8","12.4","7.8 to 12.4","1,905","263","196","330","196 to 330","13.8","10.3","17.3","10.3 to 17.3","1,419","188","136","240","136 to 240","13.2","9.5","16.9","9.5 to 16.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,311","$52,487","$64,135","$52,487 to $64,135"
"2017","48","48011","Armstrong County (TX)","1,821","193","147","239","147 to 239","10.6","8.1","13.1","8.1 to 13.1","416","63","47","79","47 to 79","15.1","11.2","19.0","11.2 to 19.0","311","45","32","58","32 to 58","14.5","10.4","18.6","10.4 to 18.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,337","$49,549","$61,125","$49,549 to $61,125"
"2017","48","48013","Atascosa County (TX)","48,518","8,217","6,339","10,095","6,339 to 10,095","16.9","13.0","20.8","13.0 to 20.8","13,277","3,371","2,520","4,222","2,520 to 4,222","25.4","19.0","31.8","19.0 to 31.8","9,690","2,360","1,714","3,006","1,714 to 3,006","24.4","17.7","31.1","17.7 to 31.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,636","$43,890","$53,382","$43,890 to $53,382"
"2017","48","48015","Austin County (TX)","29,506","3,153","2,405","3,901","2,405 to 3,901","10.7","8.2","13.2","8.2 to 13.2","7,084","1,164","856","1,472","856 to 1,472","16.4","12.0","20.8","12.0 to 20.8","5,242","810","579","1,041","579 to 1,041","15.5","11.1","19.9","11.1 to 19.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,111","$56,119","$66,103","$56,119 to $66,103"
"2017","48","48017","Bailey County (TX)","6,930","1,191","918","1,464","918 to 1,464","17.2","13.3","21.1","13.3 to 21.1","2,195","578","433","723","433 to 723","26.3","19.7","32.9","19.7 to 32.9","1,622","396","289","503","289 to 503","24.4","17.8","31.0","17.8 to 31.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,045","$37,674","$46,416","$37,674 to $46,416"
"2017","48","48019","Bandera County (TX)","21,996","2,627","2,000","3,254","2,000 to 3,254","11.9","9.0","14.8","9.0 to 14.8","3,598","814","607","1,021","607 to 1,021","22.6","16.8","28.4","16.8 to 28.4","2,693","563","408","718","408 to 718","20.9","15.2","26.6","15.2 to 26.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,578","$50,990","$60,166","$50,990 to $60,166"
