Id2,Geography,Estimate; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - Total population,percent_over65
48001,"Anderson County, Texas",8134,57747,14.0855802
48003,"Andrews County, Texas",1788,17577,10.17238437
48005,"Angelina County, Texas",13385,87700,15.2622577
48007,"Aransas County, Texas",6427,24832,25.88192655
48009,"Archer County, Texas",1647,8793,18.7308086
48011,"Armstrong County, Texas",401,1929,20.78797304
48013,"Atascosa County, Texas",6696,48139,13.90971977
48015,"Austin County, Texas",5281,29292,18.02881333
48017,"Bailey County, Texas",1013,7098,14.27162581
48019,"Bandera County, Texas",5433,21316,25.48789642
48021,"Bastrop County, Texas",11115,80306,13.84080891
48023,"Baylor County, Texas",861,3602,23.90338701
48025,"Bee County, Texas",3843,32729,11.74188029
48027,"Bell County, Texas",33740,336506,10.02656713
48029,"Bexar County, Texas",215795,1892004,11.40563128
48031,"Blanco County, Texas",2625,11089,23.67210749
48033,"Borden County, Texas",142,602,23.58803987
48035,"Bosque County, Texas",4324,17955,24.08242829
48037,"Bowie County, Texas",14813,93635,15.81993913
48039,"Brazoria County, Texas",38356,345995,11.08570933
48041,"Brazos County, Texas",18110,214231,8.453491792
48043,"Brewster County, Texas",1863,9220,20.20607375
48045,"Briscoe County, Texas",368,1591,23.13010685
48047,"Brooks County, Texas",1073,7251,14.7979589
48049,"Brown County, Texas",7250,37787,19.18649271
48051,"Burleson County, Texas",3537,17596,20.10115935
48053,"Burnet County, Texas",9666,45017,21.4718884
48055,"Caldwell County, Texas",5362,40544,13.22513812
48057,"Calhoun County, Texas",3609,21821,16.5391137
48059,"Callahan County, Texas",2662,13660,19.4875549
48061,"Cameron County, Texas",52630,420201,12.52495829
48063,"Camp County, Texas",2254,12670,17.79005525
48065,"Carson County, Texas",1047,6033,17.35454998
48067,"Cass County, Texas",6338,30118,21.04389402
48069,"Castro County, Texas",1142,7891,14.4721835
48071,"Chambers County, Texas",4193,39283,10.67382837
48073,"Cherokee County, Texas",8657,51594,16.77908284
48075,"Childress County, Texas",1072,7064,15.17553794
48077,"Clay County, Texas",2214,10369,21.35210724
48079,"Cochran County, Texas",438,2932,14.93860846
48081,"Coke County, Texas",864,3238,26.68313774
48083,"Coleman County, Texas",1872,8422,22.22749941
48085,"Collin County, Texas",92047,914075,10.06996144
48087,"Collingsworth County, Texas",557,3026,18.40713814
48089,"Colorado County, Texas",4175,20913,19.96365897
48091,"Comal County, Texas",22615,129100,17.51742835
48093,"Comanche County, Texas",3213,13492,23.81411207
48095,"Concho County, Texas",667,3858,17.28875065
48097,"Cooke County, Texas",6979,39064,17.86555396
48099,"Coryell County, Texas",6943,75818,9.157456013
48101,"Cottle County, Texas",384,1498,25.63417891
48103,"Crane County, Texas",552,4836,11.41439206
48105,"Crockett County, Texas",543,3836,14.15537018
48107,"Crosby County, Texas",1015,5895,17.21798134
48109,"Culberson County, Texas",444,2257,19.67213115
48111,"Dallam County, Texas",775,7207,10.75343416
48113,"Dallas County, Texas",255384,2552213,10.00637486
48115,"Dawson County, Texas",1892,13095,14.4482627
48117,"Deaf Smith County, Texas",2269,18947,11.97551063
48119,"Delta County, Texas",1028,5172,19.87625677
48121,"Denton County, Texas",71591,781321,9.162815283
48123,"DeWitt County, Texas",3860,20474,18.85317964
48125,"Dickens County, Texas",502,2224,22.57194245
48127,"Dimmit County, Texas",1593,10822,14.72001478
48129,"Donley County, Texas",803,3433,23.39062045
48131,"Duval County, Texas",2060,11434,18.01644219
48133,"Eastland County, Texas",3994,18278,21.85140606
48135,"Ector County, Texas",14793,155744,9.498279227
48137,"Edwards County, Texas",601,2111,28.46991947
