Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
0500000US48001,48001,"Anderson County, Texas",17.3,20.9
0500000US48003,48003,"Andrews County, Texas",55.4,1.5
0500000US48005,48005,"Angelina County, Texas",21.5,14.7
0500000US48007,48007,"Aransas County, Texas",27,1.6
0500000US48009,48009,"Archer County, Texas",8.3,0.8
0500000US48011,48011,"Armstrong County, Texas",10,1.2
0500000US48013,48013,"Atascosa County, Texas",63.5,0.7
0500000US48015,48015,"Austin County, Texas",25.9,8.9
0500000US48017,48017,"Bailey County, Texas",62.7,1.5
0500000US48019,48019,"Bandera County, Texas",18,1
0500000US48021,48021,"Bastrop County, Texas",36,7.7
0500000US48023,48023,"Baylor County, Texas",10.1,3.2
0500000US48025,48025,"Bee County, Texas",58.2,8.2
0500000US48027,48027,"Bell County, Texas",24,21
0500000US48029,48029,"Bexar County, Texas",59.8,7
0500000US48031,48031,"Blanco County, Texas",19.1,0
0500000US48033,48033,"Borden County, Texas",7.6,0
0500000US48035,48035,"Bosque County, Texas",17.6,1.4
0500000US48037,48037,"Bowie County, Texas",7.4,23.9
0500000US48039,48039,"Brazoria County, Texas",29.7,12.9
0500000US48041,48041,"Brazos County, Texas",25.1,10.2
0500000US48043,48043,"Brewster County, Texas",44.2,0.1
0500000US48045,48045,"Briscoe County, Texas",32.2,1.7
0500000US48047,48047,"Brooks County, Texas",94.1,0.1
0500000US48049,48049,"Brown County, Texas",21.5,3.6
0500000US48051,48051,"Burleson County, Texas",20.1,12.3
0500000US48053,48053,"Burnet County, Texas",21.9,1.5
0500000US48055,48055,"Caldwell County, Texas",50.7,6.1
0500000US48057,48057,"Calhoun County, Texas",48.1,2.6
0500000US48059,48059,"Callahan County, Texas",9.1,1.5
0500000US48061,48061,"Cameron County, Texas",89.3,0.4
0500000US48063,48063,"Camp County, Texas",23.9,16.9
0500000US48065,48065,"Carson County, Texas",9.7,0.6
0500000US48067,48067,"Cass County, Texas",4.3,17
0500000US48069,48069,"Castro County, Texas",63.9,0.7
0500000US48071,48071,"Chambers County, Texas",21.4,8
0500000US48073,48073,"Cherokee County, Texas",22.5,13.6
0500000US48075,48075,"Childress County, Texas",21.7,7.2
0500000US48077,48077,"Clay County, Texas",5.7,0.5
0500000US48079,48079,"Cochran County, Texas",57,2.6
0500000US48081,48081,"Coke County, Texas",21.1,0.6
0500000US48083,48083,"Coleman County, Texas",17.4,2.7
0500000US48085,48085,"Collin County, Texas",15.1,9.2
0500000US48087,48087,"Collingsworth County, Texas",31.3,3.5
0500000US48089,48089,"Colorado County, Texas",28.9,13
0500000US48091,48091,"Comal County, Texas",26.8,2
0500000US48093,48093,"Comanche County, Texas",27.3,0.7
0500000US48095,48095,"Concho County, Texas",53,0.7
0500000US48097,48097,"Cooke County, Texas",17.3,2.5
0500000US48099,48099,"Coryell County, Texas",17.8,13.7
0500000US48101,48101,"Cottle County, Texas",32.7,10.2
0500000US48103,48103,"Crane County, Texas",62.8,4.2
0500000US48105,48105,"Crockett County, Texas",66.1,0.9
0500000US48107,48107,"Crosby County, Texas",55.4,3.7
0500000US48109,48109,"Culberson County, Texas",80.7,0.4
0500000US48111,48111,"Dallam County, Texas",43.8,1.7
0500000US48113,48113,"Dallas County, Texas",39.6,22.1
0500000US48115,48115,"Dawson County, Texas",56.4,5.7
0500000US48117,48117,"Deaf Smith County, Texas",71.6,0.8
0500000US48119,48119,"Delta County, Texas",6.9,7.9
0500000US48121,48121,"Denton County, Texas",19.1,9.1
0500000US48123,48123,"DeWitt County, Texas",34.5,9
0500000US48125,48125,"Dickens County, Texas",27.6,3.1
0500000US48127,48127,"Dimmit County, Texas",86.5,0.1
0500000US48129,48129,"Donley County, Texas",10.6,3.7
0500000US48131,48131,"Duval County, Texas",89.3,1.4
0500000US48133,48133,"Eastland County, Texas",16,2.2
0500000US48135,48135,"Ector County, Texas",58.7,4.1
0500000US48137,48137,"Edwards County, Texas",56.9,0
0500000US48139,48139,"Ellis County, Texas",25.5,8.9
0500000US48141,48141,"El Paso County, Texas",82.2,3
0500000US48143,48143,"Erath County, Texas",20.6,1.6
0500000US48145,48145,"Falls County, Texas",22.8,24.3
0500000US48147,48147,"Fannin County, Texas",10.6,6.5
0500000US48149,48149,"Fayette County, Texas",20.4,6
0500000US48151,48151,"Fisher County, Texas",29.8,2.9
0500000US48153,48153,"Floyd County, Texas",57.8,2.5
0500000US48155,48155,"Foard County, Texas",21.6,2.2
0500000US48157,48157,"Fort Bend County, Texas",24.2,20.2
0500000US48159,48159,"Franklin County, Texas",13.9,4.5
0500000US48161,48161,"Freestone County, Texas",14.7,16.1
0500000US48163,48163,"Frio County, Texas",78.5,3.6
0500000US48165,48165,"Gaines County, Texas",40.6,2.3
